1.00,CloudSoft,I1000,Nathan Stevens,CloudSoft,Branding,799.00,Paid,Nigeria,2025-04-02,2025-08-28,398,3
5.00,CloudSoft,I1001,Mario Alvarez,CloudSoft,Masterclass,1621.00,Pending,USA,2024-08-26,2025-06-25,91,1
3.00,Alpha Tech,I1002,Shane Fuller,Alpha Tech,Masterclass,1718.00,Failed,Canada,2025-05-18,2025-12-15,88,3
8.00,EcoTrans,I1003,Nicholas West,EcoTrans,Analytics,995.00,Paid,Canada,2025-04-24,2025-11-22,482.5,3
4.00,Betta Ltd.,I1004,Matthew Harper,Betta Ltd.,Web Dev,1568.00,Failed,Nigeria,2023-10-06,2025-07-21,686,3
7.00,Skyline Inc.,I1005,Unknown_Intern_1,Skyline Inc.,Masterclass,930.00,Failed,Germany,2024-05-11,2025-05-09,15,3
10.00,EcoTrans,I1006,Elizabeth Gentry,EcoTrans,Branding,1042.00,Failed,Canada,2025-02-13,2025-04-28,1190,4
9.00,InfinitX,I1007,Ashley Fox,InfinitX,Growth Strategy,572.00,Failed,Germany,2024-04-06,2024-08-24,482.5,3
5.00,EcoTrans,I1008,James Scott,EcoTrans,Social Media,1353.00,Pending,Canada,2025-09-09,2025-12-12,1138,3
2.00,InfinitX,I1009,Unknown_Intern_1,InfinitX,SEO,696.00,Paid,Germany,2024-08-19,2025-04-01,244,4
6.00,Betta Ltd.,I1010,Taylor Greene,Betta Ltd.,Social Media,1640.00,Failed,Nigeria,2024-10-30,2025-09-14,605,1
3.00,EcoTrans,I1011,Jerry Johnson,EcoTrans,Social Media,885.00,Paid,Nigeria,2024-09-06,2024-11-23,111,4
10.00,Betta Ltd.,I1012,Nicholas Bishop,Betta Ltd.,Branding,886.00,Paid,UK,2023-12-03,2025-05-28,927,2
7.00,Betta Ltd.,I1013,Andrew Simmons,Betta Ltd.,Cloud Migration,1647.00,Pending,Canada,2024-05-29,2024-10-02,107,5
1.00,Betta Ltd.,I1014,Patrick Green,Betta Ltd.,Growth Strategy,1582.00,Pending,UK,2025-06-27,2025-12-08,482.5,3
4.00,TechBridge,I1015,Shannon Hartman,TechBridge,Web Dev,850.00,Failed,USA,2024-12-06,2025-01-07,31,3
1.00,Green Energy,I1016,Edward Brown,Green Energy,Growth Strategy,469.00,Pending,USA,2024-07-11,2024-09-02,277,3
4.00,Nova Systems,I1017,James Wright,Nova Systems,Social Media,892.00,Failed,USA,2023-10-08,2023-11-01,482,3
9.00,InfinitX,I1018,Kathy Preston,InfinitX,Branding,1150.00,Paid,UK,2024-03-09,2024-04-09,1058,3
2.00,Betta Ltd.,I1019,Angela Meyers,Betta Ltd.,Branding,1126.00,Pending,UK,2025-05-26,2025-08-19,1092,3
7.00,Nova Systems,I1020,Jesus Rodriguez DDS,Nova Systems,Branding,1533.00,Paid,Canada,2023-11-27,2025-04-07,620,1
9.00,EcoTrans,I1021,Jessica Clark,EcoTrans,Cloud Migration,200.00,Pending,Canada,2024-04-27,2025-04-30,156,4
8.00,TechBridge,I1022,Jaime Callahan,TechBridge,Analytics,1907.00,Failed,USA,2024-02-21,2024-04-22,482.5,3
10.00,Green Energy,I1023,Johnathan Smith,Green Energy,Branding,1485.00,Paid,USA,2025-07-14,2025-08-01,482.5,3
6.00,TechBridge,I1024,Dr. Ryan Peters,TechBridge,Social Media,1628.00,Paid,Germany,2025-07-13,2025-12-01,482.5,1
9.00,Green Energy,I1025,Amanda Walter,Green Energy,Cloud Migration,1090.00,Failed,UK,2024-02-29,2024-03-12,482.5,4
4.00,TechBridge,I1026,Robin Blair,TechBridge,Cloud Migration,448.00,Failed,Germany,2025-08-15,2025-11-24,482.5,4
5.00,Betta Ltd.,I1027,Seth Rivas,Betta Ltd.,Masterclass,1585.00,Pending,UK,2024-10-29,2025-08-19,482.5,1
9.00,InfinitX,I1028,Courtney Fisher,InfinitX,Growth Strategy,436.00,Failed,UK,2023-12-12,2025-06-01,482.5,3
1.00,Skyline Inc.,I1029,David Joyce,Skyline Inc.,Social Media,1818.00,Pending,UK,2024-11-01,2025-09-11,705,3
7.00,TechBridge,I1030,Donna Cruz,TechBridge,Analytics,1150.00,Failed,Canada,2025-03-24,2025-11-13,465,3
10.00,TechBridge,I1031,David Garrett,TechBridge,Branding,494.00,Pending,UK,2024-08-16,2025-04-22,482.5,3
3.00,Betta Ltd.,I1032,Michael Floyd,Betta Ltd.,Branding,510.00,Pending,Nigeria,2025-04-08,2025-06-12,328,3
5.00,Betta Ltd.,I1033,Paula Jacobson,Betta Ltd.,Analytics,779.00,Pending,UK,2025-07-05,2025-12-10,482.5,3
4.00,Alpha Tech,I1034,Ruth Andersen,Alpha Tech,Branding,1332.00,Pending,UK,2024-09-07,2024-09-19,828,3
4.00,Green Energy,I1035,Howard Nash,Green Energy,SEO,595.00,Pending,Germany,2025-03-09,2025-10-25,482.5,4
5.00,Green Energy,I1036,Chad Dunn,Green Energy,Growth Strategy,961.00,Failed,Nigeria,2024-02-22,2025-07-12,483,3
5.00,DataCore,I1037,Sheila Armstrong,DataCore,Growth Strategy,870.00,Pending,USA,2023-10-15,2024-11-06,131,1
10.00,Nova Systems,I1038,Jessica Boyer,Nova Systems,Web Dev,190.00,Pending,USA,2025-05-11,2025-08-08,134,2
6.00,Nova Systems,I1039,Kim Martinez,Nova Systems,SEO,1767.00,Pending,Nigeria,2024-03-30,2025-01-17,454,2
1.00,Green Energy,I1040,Stephen Washington,Green Energy,Growth Strategy,220.00,Failed,USA,2024-08-15,2024-11-03,482.5,3
9.00,InfinitX,I1041,Jeanette Scott,InfinitX,Masterclass,431.00,Pending,Nigeria,2025-04-09,2025-10-18,793,3
2.00,InfinitX,I1042,Unknown_Intern_1,InfinitX,Social Media,1711.00,Failed,UK,2024-06-16,2025-09-11,482.5,3
9.00,Betta Ltd.,I1043,Christopher Bryan Jr.,Betta Ltd.,SEO,528.00,Pending,USA,2024-04-18,2025-10-24,825,3
3.00,EcoTrans,I1044,Dale Torres,EcoTrans,Cloud Migration,1921.00,Pending,Germany,2024-09-11,2025-08-09,401,3
4.00,CloudSoft,I1045,Samantha Garcia,CloudSoft,Growth Strategy,703.00,Pending,UK,2025-05-03,2025-09-14,163,3
2.00,CloudSoft,I1046,Amy Ryan,CloudSoft,Branding,289.00,Pending,Nigeria,2024-09-12,2024-09-20,170,3
9.00,EcoTrans,I1047,Jennifer Hunt,EcoTrans,Growth Strategy,383.00,Paid,Germany,2024-05-23,2024-07-29,482.5,2
9.00,EcoTrans,I1048,Leslie Johnson,EcoTrans,Analytics,1395.00,Failed,USA,2025-06-15,2025-08-20,961,3
7.00,CloudSoft,I1049,Shawn Williams,CloudSoft,Growth Strategy,991.00,Pending,Germany,2024-04-24,2024-06-26,642,3
2.00,Nova Systems,I1050,Zachary Wilkerson,Nova Systems,Cloud Migration,286.00,Paid,USA,2024-09-16,2025-05-18,950,4
3.00,Betta Ltd.,I1051,Elizabeth Turner,Betta Ltd.,Branding,711.00,Paid,Nigeria,2024-08-16,2025-08-12,482.5,3
4.00,EcoTrans,I1052,Mariah Burns,EcoTrans,Masterclass,625.00,Failed,UK,2024-06-06,2024-08-22,462,1
9.00,CloudSoft,I1053,Derek Chang,CloudSoft,Web Dev,1394.00,Failed,USA,2025-02-24,2025-07-19,284,5
7.00,Nova Systems,I1054,Michele Mcintyre,Nova Systems,Analytics,1214.00,Paid,Germany,2025-02-24,2025-03-13,413,3
7.00,Nova Systems,I1055,William Harris,Nova Systems,SEO,712.00,Failed,Nigeria,2024-05-21,2024-06-22,1042,1
4.00,Alpha Tech,I1056,Unknown_Intern_1,Alpha Tech,Web Dev,273.00,Failed,UK,2025-08-01,2025-10-31,1082,3
3.00,EcoTrans,I1057,Hannah Sloan,EcoTrans,Growth Strategy,380.00,Pending,USA,2024-11-15,2025-06-18,984,3
4.00,DataCore,I1058,Andrew Thomas,DataCore,Branding,1434.00,Pending,UK,2025-03-05,2025-11-29,186,3
4.00,Skyline Inc.,I1059,Elijah Gray,Skyline Inc.,Social Media,540.00,Failed,UK,2025-03-19,2025-07-18,1166,1
6.00,EcoTrans,I1060,Kevin Jones,EcoTrans,Growth Strategy,348.00,Paid,UK,2025-04-07,2025-08-22,482.5,3
10.00,DataCore,I1061,David Hoover,DataCore,Web Dev,546.00,Pending,USA,2025-02-16,2025-04-30,199,2
10.00,Green Energy,I1062,Michael Rogers,Green Energy,SEO,1500.00,Pending,Canada,2025-03-27,2025-08-24,771,1
8.00,Green Energy,I1063,Taylor Clark,Green Energy,Growth Strategy,518.00,Failed,Canada,2023-12-28,2024-03-13,482.5,3
6.00,Betta Ltd.,I1064,Jessica Larsen,Betta Ltd.,Growth Strategy,1380.00,Pending,UK,2025-07-29,2025-10-22,680,4
10.00,InfinitX,I1065,Christopher Davidson,InfinitX,Branding,1964.00,Paid,UK,2024-10-03,2025-02-14,451,3
1.00,Skyline Inc.,I1066,Eric Armstrong,Skyline Inc.,Social Media,1367.00,Pending,Canada,2025-05-01,2025-05-07,482.5,3
4.00,Nova Systems,I1067,Thomas Kelly,Nova Systems,Analytics,734.00,Failed,Canada,2024-07-15,2025-07-16,731,1
8.00,Skyline Inc.,I1068,Michael Johnson,Skyline Inc.,Cloud Migration,1794.00,Failed,UK,2024-02-02,2025-05-18,117,2
6.00,Betta Ltd.,I1069,Marcus Chavez,Betta Ltd.,Branding,1302.00,Pending,Germany,2024-01-15,2025-05-19,719,4
4.00,Nova Systems,I1070,Patrick Harvey,Nova Systems,Growth Strategy,1419.00,Failed,Canada,2025-08-16,2025-09-26,990,3
1.00,InfinitX,I1071,Brandon Gardner,InfinitX,SEO,283.00,Failed,Canada,2025-02-27,2025-08-17,482.5,1
2.00,TechBridge,I1072,Holly Liu,TechBridge,Web Dev,449.00,Failed,USA,2024-01-25,2025-11-03,390,3
8.00,Skyline Inc.,I1073,Gloria Stanton,Skyline Inc.,Cloud Migration,344.00,Pending,Germany,2024-04-29,2024-11-12,482.5,3
9.00,DataCore,I1074,Unknown_Intern_1,DataCore,Cloud Migration,191.00,Failed,UK,2025-02-24,2025-11-18,744,4
10.00,InfinitX,I1075,Jesus Lee,InfinitX,SEO,769.00,Paid,Nigeria,2024-06-16,2025-10-13,616,3
7.00,Skyline Inc.,I1076,Deborah Smith,Skyline Inc.,Social Media,1516.00,Pending,Nigeria,2023-10-15,2024-12-24,1194,3
8.00,Skyline Inc.,I1077,Julie Baldwin,Skyline Inc.,Cloud Migration,837.00,Failed,USA,2024-05-27,2025-09-28,1044,3
4.00,Skyline Inc.,I1078,Donna Davis,Skyline Inc.,Web Dev,1074.00,Failed,Nigeria,2024-02-09,2024-12-14,482.5,3
6.00,Betta Ltd.,I1079,Unknown_Intern_1,Betta Ltd.,Branding,475.00,Paid,Nigeria,2024-05-20,2025-11-17,486,3
7.00,Green Energy,I1080,James Fields,Green Energy,Masterclass,906.00,Pending,Canada,2025-08-01,2025-09-08,796,3
9.00,EcoTrans,I1081,Jonathan Beck,EcoTrans,Analytics,510.00,Pending,Nigeria,2025-03-04,2025-12-01,482.5,2
8.00,Betta Ltd.,I1082,Michelle Clark,Betta Ltd.,Cloud Migration,886.00,Failed,USA,2024-10-03,2025-02-23,1107,3
8.00,InfinitX,I1083,Unknown_Intern_1,InfinitX,Cloud Migration,313.00,Failed,Nigeria,2025-03-31,2025-11-09,937,4
8.00,TechBridge,I1084,Juan Hall,TechBridge,Growth Strategy,599.00,Paid,UK,2025-08-14,2025-11-04,482.5,3
9.00,EcoTrans,I1085,Jimmy Galvan,EcoTrans,Web Dev,1212.00,Paid,Canada,2025-05-16,2025-10-02,379,3
1.00,Green Energy,I1086,Michael Hughes,Green Energy,SEO,1080.00,Pending,UK,2025-03-23,2025-08-13,482.5,3
1.00,CloudSoft,I1087,Jennifer Bennett,CloudSoft,Web Dev,290.00,Pending,UK,2024-03-28,2025-08-01,179,2
7.00,Betta Ltd.,I1088,Sarah Molina,Betta Ltd.,Growth Strategy,779.00,Failed,UK,2024-05-04,2025-04-16,437,2
2.00,DataCore,I1089,Shaun Martin,DataCore,Growth Strategy,1144.00,Pending,Nigeria,2023-11-07,2025-08-12,839,2
4.00,InfinitX,I1090,Grant Evans,InfinitX,Cloud Migration,1633.00,Failed,Nigeria,2024-07-21,2024-08-23,482.5,3
6.00,EcoTrans,I1091,Unknown_Intern_1,EcoTrans,Masterclass,362.00,Paid,Germany,2025-07-17,2025-09-19,13,3
2.00,CloudSoft,I1092,Patricia Dyer,CloudSoft,Growth Strategy,1487.00,Pending,Germany,2025-01-28,2025-10-08,482.5,3
5.00,Green Energy,I1093,Danielle Clark,Green Energy,Web Dev,1787.00,Failed,UK,2025-09-09,2025-11-11,1144,2
10.00,InfinitX,I1094,Andrew Barnett,InfinitX,Masterclass,439.00,Pending,USA,2024-04-19,2025-02-04,31,3
5.00,Green Energy,I1095,Joseph Shannon,Green Energy,Web Dev,1007.00,Failed,Canada,2025-09-09,2025-10-02,482.5,3
7.00,TechBridge,I1096,Chad Bautista,TechBridge,Masterclass,1982.00,Failed,UK,2025-06-03,2025-11-10,409,2
4.00,Green Energy,I1097,Roger Miller,Green Energy,Cloud Migration,1923.00,Failed,UK,2023-10-20,2025-10-13,164,3
1.00,TechBridge,I1098,Anthony Ward,TechBridge,Analytics,1254.00,Pending,Germany,2024-02-02,2024-03-16,922,3
5.00,InfinitX,I1099,Nathan Fisher,InfinitX,Growth Strategy,297.00,Pending,Nigeria,2025-02-16,2025-08-29,482.5,3
7.00,CloudSoft,I1100,Michael Martinez,CloudSoft,Cloud Migration,1799.00,Failed,Germany,2024-07-09,2024-09-08,446,1
10.00,EcoTrans,I1101,Kelly Smith,EcoTrans,Branding,779.00,Pending,Canada,2025-08-30,2025-10-06,125,3
8.00,Alpha Tech,I1102,Joshua Marshall,Alpha Tech,Web Dev,1785.00,Paid,Nigeria,2024-05-14,2025-03-22,1027,3
7.00,Alpha Tech,I1103,Desiree Allen,Alpha Tech,SEO,1555.00,Paid,Nigeria,2024-12-31,2025-12-06,310,3
3.00,Nova Systems,I1104,Arthur Mathis,Nova Systems,Analytics,1476.00,Failed,USA,2025-03-02,2025-04-29,337,3
6.00,CloudSoft,I1105,Jennifer Brown,CloudSoft,Growth Strategy,1967.00,Failed,Nigeria,2025-05-25,2025-07-06,482.5,3
4.00,TechBridge,I1106,Cheryl Padilla,TechBridge,Social Media,696.00,Failed,UK,2024-02-12,2024-04-15,342,3
3.00,Nova Systems,I1107,Nathaniel Little,Nova Systems,Growth Strategy,936.00,Paid,Germany,2025-08-18,2025-11-07,37,5
9.00,CloudSoft,I1108,Thomas Murray,CloudSoft,SEO,803.00,Failed,UK,2024-10-06,2025-03-01,482.5,3
7.00,Green Energy,I1109,Kara Owen,Green Energy,Social Media,422.00,Failed,USA,2024-01-20,2024-03-25,482.5,3
7.00,Nova Systems,I1110,Christina Valentine,Nova Systems,Analytics,1793.00,Failed,Germany,2025-07-02,2025-09-30,482.5,2
7.00,Betta Ltd.,I1111,Dean Weber,Betta Ltd.,Cloud Migration,779.00,Pending,Canada,2024-11-23,2025-03-29,609,3
1.00,Skyline Inc.,I1112,Tony Andrews,Skyline Inc.,Masterclass,920.00,Failed,USA,2023-12-23,2025-09-22,482.5,1
5.00,Nova Systems,I1113,Lisa Hernandez,Nova Systems,Analytics,1455.00,Pending,USA,2024-04-29,2024-10-03,482.5,3
9.00,DataCore,I1114,Lisa Reid,DataCore,Branding,330.00,Failed,USA,2024-08-27,2025-06-03,115,5
10.00,DataCore,I1115,John Young,DataCore,Social Media,720.00,Pending,UK,2024-11-07,2025-03-28,953,3
6.00,Betta Ltd.,I1116,Erika King,Betta Ltd.,Analytics,958.00,Paid,Nigeria,2024-08-09,2025-07-29,454,2
